 A.1 Summary Demographics ,,,,,,,,,,,,,,,,,A2. Economic and Housing Demographics,,,,,,,,,,,,,,,,,,A.3 Health Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City,Region,City Type,Metro-area, Metro-area population , City Population ,Population 2013,Population 2018,Population Trend* ,% Hispanic or Latino (of any race),White alone (%),% Black or African American,% American Indian and Alaska Native alone,% Asian alone,% Native Hawaiian and Other Pacific Islander alone,% Some other race alone,% Two or more races,Share Below 100% of the FPL,Share Between 100% and 149% of the FPL,% At or Above 150% of the FPL,Total Unemployment (%),Unemployment rate White alone,Unemployment rate Hispanic or Latino origin of any race,"Unemployment rate White alone, not Hispanic or Latino",Unemployment rate Black or African American alone,Unemployment rate American Indian or Alaska Native alone,Unemployment rate Asian alone,Unemployment rate Native Hawaiian and Other Pacific Islander alone,Unemployment rate Some other race alone,Unemployment rate Two or more races,Percent homeowner ,Percent renter,Renter housing cost burden 35 percent or more,Owner housing cost burden 30-34.9 percent,Owner housing cost burden 35 percent or more,Asthma,Housing with potential lead risk,Cardiovascular Disease Deaths,Physical inactivity,Park Access,Walkability Score,Uninsured,Limited Access to Healthy Foods,Obesity,Air pollution,Life Expectacy,Opioid Overdose Deaths,Low birthweight,Premature mortality rate,Drinking water violations,Average travel time to work all,Average travel time to work white,Average travel time to work black,Average travel time to work latino,Average travel time to work asian or pacific islander,Average travel time to work mixed/other,Average travel time people of color,Average travel time Native American,Transportation affordabilty,Renter housing cost burden 30-34.9 percent,Housing quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson, MI",Midwest,Center City,"Jackson, MI Metro Area"," 158,913 "," 32,800 "," 33,506.00 "," 32,800.00 ",losing population,6.43,67.60,20.77,0.17,0.75,0.05,0.18,4.04,29.98,12.75,57.27,9.11,8.6,9.3,8.4,13.4,0.0,0.0,-,0.0,5.8,55.4,44.6,45.1,7.0,18.1,NA,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,24.0,9.1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kalamazoo, MI*",Midwest,Center City,"Kalamazoo-Portage, MI Metro Area"," 336,845 "," 76,040 "," 74,812.00 "," 76,040.00 ",plateau,6.83,64.21,20.77,0.15,2.13,0.02,0.18,5.72,30.41,12.48,57.11,8.93,6.2,11.1,6.0,18.4,23.5,8.9,-,10.0,14.7,44.8,55.2,42.6,5.2,16.6,11.5,32.0,199.6,26.8,60.6,47.6,7.4,65.2,32.5,8.7,76.9,28.1,NA,9800.0,4.0,21.4,21.8,18.3,18.7,NA,17.3,18.9,NA,24.0,9.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lansing, MI*",Midwest,Center City,"Lansing-East Lansing, MI Metro Area"," 476,615 "," 116,699 "," 114,274.00 "," 116,699.00 ",plateau,12.53,54.93,21.39,0.40,3.54,0.01,0.17,7.03,26.10,11.40,62.50,9.04,7.2,7.8,7.2,13.2,12.5,4.2,0.0,2.9,21.4,50.6,49.4,42.8,7.6,19.0,11.4,31.2,230.6,28.0,77.6,43.3,7.9,75.4,35.1,8.5,77.5,35.8,10.0,10600.0,5.0,20.8,21.1,19.7,19.0,19.3,19.9,19.3,NA,22.0,8.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lawrence, KS",Midwest,Center City,"Lawrence, KS Metro Area"," 119,319 "," 95,294 "," 88,921.00 "," 95,294.00 ",growing,6.75,75.96,4.50,2.38,6.30,0.01,0.15,3.94,21.84,8.07,70.08,3.53,4.0,4.9,3.9,2.4,11.9,5.6,-,6.1,6.7,45.8,54.2,45.3,6.0,14.7,9.5,12.6,169.8,22.3,66.5,39.1,8.2,67.0,26.9,7.3,80.3,7.0,NA,6200.0,7.0,NA,NA,NA,NA,NA,NA,NA,NA,23.0,8.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pontiac, MI",Midwest,Suburban City,"Detroit-Warren-Dearborn, MI Metro Area"," 4,317,179 "," 60,116 "," 59,751.00 "," 60,116.00 ",plateau,19.60,24.99,48.35,0.21,1.88,0.04,0.05,4.88,31.93,13.74,54.33,13.30,12.6,10.9,13.8,14.2,25.7,5.8,0.0,6.8,15.7,41.0,59.0,43.1,6.1,29.5,NA,32.0,NA,NA,40.8,40.8,13.0,59.6,NA,9.1,72.9,NA,NA,NA,9.0,NA,NA,NA,NA,NA,NA,NA,NA,21.0,7.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rockford, IL",Midwest,Center City,"Rockford, IL Metro Area"," 339,780 "," 147,881 "," 152,138.00 "," 147,881.00 ",losing population,17.97,53.91,21.50,0.11,3.24,0.00,0.19,3.09,22.64,11.70,65.66,11.86,8.4,9.7,8.2,23.0,14.2,9.1,0.0,9.5,20.5,54.9,45.1,42.8,6.7,20.3,10.4,28.6,257.2,30.3,63.0,41.7,7.7,65.6,35.2,8.8,76.5,40.7,10.1,11800.0,35.0,22.5,22.7,21.8,22.0,21.4,NA,22.0,NA,23.0,8.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saginaw, MI",Midwest,Center City,"Saginaw, MI Metro Area"," 192,778 "," 48,997 "," 51,165.00 "," 48,997.00 ",losing population,14.36,37.09,43.51,0.24,0.54,0.00,0.10,4.15,34.47,16.75,48.78,14.92,10.1,18.4,8.4,20.4,10.0,8.7,-,8.3,30.0,57.8,42.2,55.4,5.9,25.8,NA,NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,27.0,7.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Bend, IN*",Midwest,Center City,"South Bend-Mishawaka, IN-MI Metro Area"," 320,700 "," 102,233 "," 100,863.00 "," 102,233.00 ",plateau,15.27,52.85,26.02,0.31,1.46,0.09,0.21,3.77,23.77,13.34,62.89,7.45,5.2,6.7,4.9,14.5,0.0,0.0,30.4,6.0,7.0,56.9,43.1,42.8,6.4,17.2,10.3,34.0,237.1,34.3,65.7,42.6,12.6,71.8,37.9,9.1,76.4,22.5,9.6,11300.0,119.0,20.3,20.4,19.6,21.0,17.6,NA,20.0,NA,25.0,7.9,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stevens Point, WI",Midwest,Small Rural,"Stevens Point, WI Micro Area"," 70,599 "," 26,402 "," 26,694.00 "," 26,402.00 ",losing population,4.09,87.12,1.34,0.45,4.66,0.02,0.49,1.82,21.64,10.85,67.51,3.51,4.3,1.5,4.3,0.0,0.0,0.0,0.0,16.9,7.0,50.2,49.8,39.8,6.7,13.3,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,4.0,NA,NA,NA,NA,NA,NA,NA,NA,23.0,8.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Topeka, KS",Midwest,Center city,"Topeka, KS Metro Area"," 233,260 "," 126,877 "," 127,625.00 "," 126,877.00 ",losing population,14.95,68.33,10.19,0.82,1.61,0.03,0.14,3.93,15.93,10.33,73.74,4.81,4.3,4.9,4.5,7.8,11.6,4.3,0.0,6.3,10.4,56.6,43.4,38.6,6.3,15.5,9.9,25.4,211.6,30.3,70.1,35.8,9.6,75.9,37.5,7.4,77.8,9.2,7.4,10500.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,22.0,8.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wausau, WI",Midwest,Small Rural,"Wausau, WI Metro Area"," 135,264 "," 38,801 "," 39,207.00 "," 38,801.00 ",losing population,3.07,80.47,1.12,0.35,11.84,0.06,0.00,3.09,15.66,11.91,72.43,5.21,4.7,20.2,4.5,4.0,0.0,6.4,-,33.5,11.2,58.6,41.4,32.9,10.0,19.0,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,4.0,NA,NA,NA,NA,NA,NA,NA,NA,22.0,9.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albany, NY",Northeast,Center City,"Albany-Schenectady-Troy, NY Metro Area"," 880,481 "," 97,889 "," 98,142.00 "," 97,889.00 ",losing population,10.23,49.90,27.92,0.11,6.94,0.02,0.42,4.45,23.83,10.90,65.27,6.33,5.0,12.8,4.6,10.9,26.5,5.2,0.0,8.5,7.8,36.8,63.2,46.6,6.9,17.6,10.8,44.8,229.1,26.8,56.2,64.9,6.2,68.1,28.5,6.6,78.1,15.6,NA,8100.0,4.0,22.3,22.3,24.2,19.9,23.4,19.9,22.4,NA,16.0,8.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allentown,  PA",Northeast,Center City,"Allentown-Bethlehem-Easton, PA-NJ Metro Area"," 834,615 "," 120,410 "," 118,285.00 "," 120,410.00 ",plateau,52.21,32.97,10.09,0.17,2.47,0.00,0.21,1.89,26.16,14.33,59.52,11.16,9.8,13.2,6.6,12.9,18.1,13.4,0.0,14.0,8.0,41.9,58.1,49.5,6.6,25.9,10.8,37.4,188.5,31.0,56.5,70.4,12.1,46.0,38.7,10.3,77.7,13.8,9.0,9100.0,11.0,27.5,26.9,31.1,29.3,29.8,28.9,29.7,NA,18.0,9.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bethlehem, PA",Northeast,Suburban City,"Allentown-Bethlehem-Easton, PA-NJ Metro Area"," 834,615 "," 75,296 "," 75,030.00 "," 75,296.00 ",plateau,28.64,59.39,6.45,0.06,2.93,0.00,0.18,2.36,16.07,10.53,73.40,5.42,4.8,6.4,4.4,10.1,0.0,1.2,-,5.5,10.0,51.0,49.0,39.5,6.7,18.4,9.9,35.1,184.4,26.7,76.2,63.1,7.8,51.0,32.9,10.2,78.7,19.7,NA,6900.0,32.0,27.5,26.9,31.1,29.3,29.8,28.9,29.7,NA,19.0,10.6,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chicopee, MA*",Northeast,Suburban City,"Springfield, MA Metro Area"," 630,275 "," 55,661 "," 55,478.00 "," 55,661.00 ",plateau,20.64,71.39,4.12,0.12,2.13,0.00,0.05,1.55,15.32,11.18,73.50,6.76,5.5,9.7,5.2,16.4,0.0,0.9,-,15.9,27.1,57.0,43.0,39.7,6.6,19.2,NA,37.2,NA,NA,57.0,42.7,3.0,74.5,NA,6.4,78.5,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,22.0,10.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Concord, NH*",Northeast,Small Rural,"Concord, NH Micro Area"," 149,452 "," 43,040 "," 42,590.00 "," 43,040.00 ",plateau,2.75,86.91,2.87,0.37,4.77,0.00,0.37,1.96,10.12,5.75,84.13,4.33,4.0,8.6,3.8,14.3,0.0,7.4,-,0.0,6.7,53.9,46.1,39.4,7.4,19.1,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,19.0,7.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elmira, NY",Northeast,Small rural,"Elmira, NY Metro Area"," 85,740 "," 27,695 "," 29,176.00 "," 27,695.00 ",losing population,5.64,73.05,13.88,0.86,0.47,0.02,0.26,5.82,28.74,13.83,57.42,8.27,7.4,10.6,7.4,14.6,0.0,0.0,0.0,0.0,7.6,45.3,54.7,47.9,4.5,18.6,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,5.0,NA,NA,NA,NA,NA,NA,NA,NA,22.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lawrence, MA",Northeast,Center City,"Boston-Cambridge-Newton, MA-NH Metro Area"," 4,811,732 "," 79,841 "," 76,820.00 "," 79,841.00 ",plateau,80.26,14.42,2.14,0.02,2.40,0.00,0.52,0.23,23.69,13.99,62.32,9.59,9.8,9.7,9.8,4.7,8.1,8.8,-,9.4,17.3,28.7,71.3,47.9,8.1,36.5,11.3,43.4,155.0,36.0,91.5,71.6,6.3,55.6,33.7,5.9,79.4,45.3,NA,8000.0,183.0,NA,NA,NA,NA,NA,NA,NA,NA,15.0,10.7,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lowell, MA",Northeast,Center City,"Boston-Cambridge-Newton, MA-NH Metro Area"," 4,811,732 "," 111,249 "," 107,466.00 "," 111,249.00 ",plateau,18.81,48.79,6.64,0.49,23.06,0.02,0.59,1.62,20.72,10.64,68.63,7.04,7.8,14.2,5.9,6.6,12.6,5.3,0.0,4.8,13.1,42.4,57.6,42.4,6.2,26.2,10.8,40.7,175.3,30.6,91.1,64.1,5.2,50.6,26.9,6.0,77.7,51.2,8.7,8700.0,39.0,NA,NA,NA,NA,NA,NA,NA,NA,16.0,12.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Princeton, NJ*",Northeast,Center City,"Trenton, NJ Metro Area"," 368,762 "," 30,728 "," 28,621.00 "," 30,728.00 ",growing,7.68,67.73,5.56,0.00,16.38,0.00,0.26,2.38,5.78,3.57,90.64,2.70,2.8,3.2,2.7,4.0,22.2,5.7,0.0,0.0,0.0,59.3,40.7,35.6,7.0,17.8,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.0,10.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Providence, RI",Northeast,Center City,"Providence-Warwick, RI-MA Metro Area"," 1,615,516 "," 179,435 "," 178,056.00 "," 179,435.00 ",plateau,43.00,33.54,13.31,0.87,6.03,0.15,0.48,2.62,26.01,12.42,61.57,8.94,7.0,12.3,4.4,10.6,21.4,7.2,0.0,12.7,10.1,35.1,64.9,40.7,8.0,33.3,12.3,45.8,197.4,31.1,97.0,77.8,9.1,36.3,32.8,7.0,78.0,36.7,8.8,7600.0,4.0,25.3,25.4,25.7,24.2,25.1,23.6,24.6,NA,17.0,10.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rochester, NY*",Northeast,Center City,"Rochester, NY Metro Area"," 1,074,667 "," 207,778 "," 210,624.00 "," 207,778.00 ",losing population,18.32,36.60,38.19,0.25,3.19,0.01,0.26,3.18,32.60,13.57,53.83,11.32,7.0,15.7,5.2,17.5,13.1,6.7,-,11.8,17.6,36.3,63.7,49.3,7.9,21.4,12.0,46.3,320.3,32.6,82.4,64.9,6.1,51.4,36.3,6.7,76.7,29.0,11.4,11900.0,3.0,19.2,17.3,23.0,18.1,17.6,17.4,21.0,NA,20.0,10.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Somerville, MA",Northeast,suburban City,"Boston-Cambridge-Newton, MA-NH Metro Area"," 4,811,732 "," 80,434 "," 76,945.00 "," 80,434.00 ",plateau,10.78,69.60,6.12,0.09,9.66,0.02,0.72,3.01,11.95,6.35,81.70,3.91,3.3,3.6,3.3,15.6,0.0,4.0,0.0,2.9,2.9,33.6,66.4,27.7,7.6,23.0,10.1,49.4,131.6,20.1,99.8,88.7,3.1,13.9,22.5,6.6,80.3,22.1,NA,5100.0,12.0,NA,NA,NA,NA,NA,NA,NA,NA,12.0,10.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Syracuse, NY",Northeast,Center City,"Syracuse, NY Metro Area"," 654,705 "," 143,293 "," 144,742.00 "," 143,293.00 ",losing population,9.34,50.02,28.47,0.76,6.75,0.02,0.30,4.33,31.79,12.06,56.15,9.72,6.6,16.3,6.3,16.7,15.7,10.0,35.3,18.1,15.5,38.7,61.3,46.5,5.1,17.5,11.7,44.2,266.3,31.0,75.9,59.9,5.4,45.0,33.0,6.0,76.9,35.9,9.8,11300.0,24.0,20.6,20.6,20.4,21.8,19.3,20.0,20.5,NA,19.0,7.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Worcester, MA",Northeast,Center City,"Worcester, MA-CT Metro Area"," 938,818 "," 185,195 "," 181,901.00 "," 185,195.00 ",plateau,21.33,56.17,11.94,0.29,7.57,0.03,0.42,2.24,21.12,9.67,69.20,6.67,6.0,8.1,5.9,8.0,6.5,6.2,0.0,9.6,10.5,41.9,58.1,44.9,7.2,26.1,11.6,41.9,158.6,28.2,74.0,55.6,3.0,52.5,30.1,6.1,78.7,39.4,8.4,8300.0,15.0,28.3,28.7,24.3,24.6,29.2,28.3,26.1,NA,18.0,9.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yonkers, NY",Northeast,Suburban City,,," 199,745 "," 197,493.00 "," 199,745.00 ",plateau,36.96,38.60,15.45,0.15,6.89,0.04,0.43,1.47,16.01,9.06,74.93,7.29,6.7,7.4,6.3,9.6,3.1,4.9,0.0,7.9,7.3,46.5,53.5,47.7,7.1,31.3,9.8,36.7,175.9,28.3,88.2,69.8,8.5,23.3,27.1,8.4,81.0,15.6,9.3,5300.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,16.0,9.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arlington, VA",South,County,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"," 6,138,382 "," 231,803 "," 214,861.00 "," 231,803.00 ",growing,15.61,61.76,8.65,0.26,10.30,0.09,0.42,2.92,7.15,4.08,88.77,2.88,2.4,3.8,2.2,5.2,3.9,3.9,0.0,4.9,4.2,43.5,56.5,29.4,6.9,14.6,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,16.0,34.2,33.0,37.2,33.7,33.2,33.7,35.2,35.8,8.0,9.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bluefield, WV",South,Small Rural,"Bluefield, WV-VA Micro Area"," 102,566 "," 10,022 "," 10,492.00 "," 10,022.00 ",losing population,1.20,69.08,25.75,0.38,0.07,0.00,0.01,3.51,20.56,17.85,61.59,7.42,4.8,50.7,4.6,15.6,-,0.0,-,-,0.0,64.5,35.5,27.1,8.0,15.5,NA,NA,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,31.0,13.4,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
